No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
441;DP059;Olahan;Tumis bayam bersantan;91,2;48;1,4;4,2;2,6;0,5;0,6;129;27;0,8;-;-;-;-;-;-;2.988;0,01;-;-;22;100;Sayur;KZGPI-1990;;;;;;;;
442;DP060;Olahan;Waluh balamak;89,4;45;0,8;0,9;8,1;7,9;1;25;25;0,5;61;15;-;0,2;-;1.241;-;0,2;-;0,1;2;100;Sayur;KZGMI-2001;;;;;;;;
443;DP061;Olahan;Woku ubi;73;143;3,1;7,8;15;7;1,1;195;91;2,8;353;256;0,3;1;-;1.519;-;0,1;-;-;15;100;Sayur;KZGMI-2001;;;;;;;;
444;DR001;Tunggal;Akar tonjong, segar;86,7;45;1,1;0,4;10,8;1,2;1;72;125;1,3;96;1.147,10;0,02;0,2;-;83;90;0,02;0,03;1,9;2;100;Sayur;KZGPI-1990;;;;;;;;
445;DR002;Tunggal;Ale,toge, segar;90,6;37;4,4;0,5;3,8;1,7;0,7;50;248;2;2;105;0,16;0,4;-;-;35;0,02;0,09;0,6;46;90;Sayur;KZGPI-1990;;;;;;;;
446;DR003;Tunggal;Andaliman, segar;74,2;99;4,6;1;18;8,5;2,2;383;107;2,9;-;-;-;-;-;-;6.300;3;-;-;15;100;Sayur;KZGPI-1990;;;;;;;;
447;DR004;Tunggal;Andewi, segar;91,8;226;1,6;0,2;5,3;4,1;1,1;33;66;1;29;414,6;0,13;1;-;1.717;-;0,14;0,09;0,5;10;80;Sayur;DABM-1964;;;;;;;;
448;DR005;Tunggal;Bakung, segar;92,5;27;2;0,2;4,2;3,8;1,1;19;20;0,5;37;340;0,2;0,3;-;1.080;-;0,2;0,1;0,3;42;100;Sayur;KZGMI-2001;;;;;;;;
449;DR006;Tunggal;Baligo, segar;96,1;15;0,4;0,2;3;0,4;0,3;19;19;0,4;2;131,1;0,02;0,6;-;-;-;0,04;0,02;0,3;13;69;Sayur;DABM-1964;;;;;;;;
450;DR007;Tunggal;Bawang bombay, segar;87,5;43;1,4;0,2;10,3;2;0,6;32;44;0,5;12;9,6;0,1;0,3;-;788;50;0,03;0,21;0,4;9;94;Sayur;DABM-1964;;;;;;;;
451;DR008;Tunggal;Bayam, segar;94,5;16;0,9;0,4;2,9;0,7;1,3;166;76;3,5;16;456,4;0,13;0,4;-;2.699;2.293;0,04;0,1;1;41;71;Sayur;KZGPI-1990;;;;;;;;
452;DR009;Tunggal;Bayam merah, segar;88,5;41;2,2;0,8;6,3;2,2;2,2;520;80;7;20;60;0,2;0,8;-;7.325;-;0,2;0,1;0,1;62;71;Sayur;KZGMI-2001;;;;;;;;
453;DR010;Tunggal;Bit, segar;87,6;41;1,6;0,1;9,6;2,6;1,1;27;43;1;29;404,9;0,2;0,7;-;-;20;0,02;0,05;0,3;10;75;Sayur;DABM-1964;;;;;;;;
454;DR011;Tunggal;Buah kelor;89,5;38;1,5;0,2;7,5;3,2;1,3;30;54;-;48;216;-;0,2;-;31;-;0,1;0,1;4,1;25;65;Sayur;KZGMI-2001;;;;;;;;
455;DR012;Tunggal;Buah merah;81,2;87;2,6;2,7;13,1;4;0,4;30;1;1,1;110;140;0,1;0,3;-;-;-;1,5;0,1;0,2;15;100;Sayur;KZGMI-2001;;;;;;;;
456;DR013;Tunggal;Buncis, segar;89,6;34;2,4;0,3;7,2;1,9;0,5;101;42;0,7;8;250;0,07;0,3;-;772;550;0,05;0,4;2,8;11;90;Sayur;KZGPI-1990;;;;;;;;
457;DR014;Tunggal;Bunga pepaya, segar;87,3;45;2,6;0,3;8,1;1,6;1,7;290;113;4,2;2;478,3;0,08;0,8;-;2.792;5;0,01;0,28;1;23;100;Sayur;KZGPI-1990;;;;;;;;
458;DR015;Tunggal;Bunga turi, segar;90,4;42;2;1,1;6,1;3,3;0,4;28;23;0,8;97;97,4;0,1;0,6;-;1.000;0,1;0,5;0,02;0,4;1;96;Sayur;BKP;;;;;;;;
459;DR016;Tunggal;Caisin, segar;93,6;20;1,7;0,4;3,4;1,2;0,9;123;40;1,9;18;358,2;0,05;1,4;-;1.675;4.188;0,04;0,19;0,6;3;100;Sayur;KZGPI-1990;;;;;;;;
460;DR017;Tunggal;Daun bangun-bangun, segar;92,5;27;1,3;0,6;4;1;1,6;279;40;13,6;4;144;-;-;-;1.489;13.288;0,16;0,1;-;5;66;Sayur;KZGPI-1990;;;;;;;;
461;DR018;Tunggal;Daun bawang merah, segar;89,1;41;2;0,3;7,8;2,1;0,8;60;40;2,3;30;90;0,1;0,3;-;218;-;0,1;0,1;0,2;11;67;Sayur;KZGMI-2001;;;;;;;;
462;DR019;Tunggal;Daun bebuas, segar;87,9;41;2,7;1;7,3;2,1;1,1;29;245;1,5;-;-;-;-;-;-;3.099;0,01;-;-;3;49;Sayur;KZGPI-1990;;;;;;;;
463;DR020;Tunggal;Daun belem, segar;84,6;50;4,4;1,4;7,8;1,9;1,8;698;151;7,5;-;-;-;-;-;-;13.072;0,05;-;-;21;81;Sayur;KZGPI-1990;;;;;;;;
464;DR021;Tunggal;Daun bluntas, segar;86;44;1,8;0,5;9,4;-;2,3;256;49;5,6;-;-;-;-;-;-;3.980;0,02;-;-;30;65;Sayur;DABM-1964;;;;;;;;
465;DR022;Tunggal;Daun gandaria, segar;81;63;3,1;0,3;14;2,1;1,6;40;45;4,7;3;127,7;-;-;-;503;600;0,04;0,04;0,2;61;65;Sayur;DABM-1964;;;;;;;;
466;DR023;Tunggal;Daun gedi besar, segar;84;58;2,9;0,7;10;3,3;2,4;440;100;1,9;30;40;0,2;2,1;-;596;-;0,4;0,5;2,8;11;65;Sayur;KZGMI-2001;;;;;;;;
467;DR024;Tunggal;Daun gedi kecil, segar;83,7;61;3,2;0,7;10,4;3,4;2;420;70;1,7;20;50;0,1;1,4;-;607;-;0,4;0,3;2,9;11;65;Sayur;KZGMI-2001;;;;;;;;
468;DR025;Tunggal;Daun gelang, segar;90,3;30;1,3;0,7;5,8;1,3;1,9;350;210;11,9;5;333,3;0,31;1,2;-;4.701;1.954;0,01;0,14;0,7;1;52;Sayur;KZGPI-1990;;;;;;;;
469;DR026;Tunggal;Daun gunda bali, segar;86,4;50;4,6;0,9;7;1,4;1,1;167;62;0,5;-;-;-;-;-;-;6.571;0,05;-;-;20;49;Sayur;KZGPI-1990;;;;;;;;
470;DR027;Tunggal;Daun gunda serang, segar;84,6;62;4,2;0,9;9,2;1,3;1,1;171;64;0,6;-;-;-;-;-;-;7.347;0,02;-;-;20;47;Sayur;KZGPI-1990;;;;;;;;
471;DR028;Tunggal;Daun jambu mete muda, segar;78;78;4,6;0,5;16,2;3;0,7;33;64;8,9;14;670,5;-;-;-;4.484;2.689;0,02;1,12;1,1;65;65;Sayur;DABM-1964;;;;;;;;
472;DR029;Tunggal;Daun jampang, segar;88,9;34;3,8;0,5;5,3;1,4;1,5;21;245;1;-;-;-;-;-;-;4.357;0,03;-;-;3;47;Sayur;KZGPI-1990;;;;;;;;
473;DR030;Tunggal;Daun jawaw seluang, segar;77,2;93;5;1,3;15,3;3,9;1,2;146;103;5,3;2;434;0,5;1,5;-;-;-;0,1;0,7;-;9;-;Sayur;KZGMI-2001;;;;;;;;
474;DR031;Tunggal;Daun jonghe, segar;91,4;27;2,1;0,7;4,4;2;1,4;253;192;9,5;-;-;-;-;-;-;5.057;0,01;-;-;1;45;Sayur;KZGPI-1990;;;;;;;;
475;DR032;Tunggal;Daun kacang ma, segar;89,1;36;2,9;0,6;6,8;1,8;0,6;64;220;2,2;7;485,3;0,2;0,3;-;2.893;4.377;0,04;0,18;1,2;4;33;Sayur;KZGPI-1990;;;;;;;;
476;DR033;Tunggal;Daun kacang panjang, segar;89,7;30;3,1;0,3;5,8;1,7;1,1;200;66;4,5;7;458,6;0,2;0,3;-;2.734;4.592;0,33;0,2;1,1;30;65;Sayur;KZGPI-1990;;;;;;;;
477;DR034;Tunggal;Daun kasbi/singkong karet, segar;80,3;92;4;3,6;10,9;5,8;1,2;140;70;1,6;70;90;0,3;1,1;-;4.046;-;0,1;0,2;0,1;74;87;Sayur;KZGMI-2001;;;;;;;;
478;DR035;Tunggal;Daun katuk, segar;81;59;6,4;1;9,9;1,5;1,7;233;98;3,5;21;478,8;0,3;1,3;-;9.152;10.020;-;0,31;2,3;164;40;Sayur;KZGPI-1990;;;;;;;;
479;DR036;Tunggal;Daun kecipir, segar;85;52;5;0,5;8,5;-;1;134;81;6,2;6;114;0,3;0,8;-;3.981;5.240;0,28;0,4;2,2;29;70;Sayur;DABM-1964;;;;;;;;
480;DR037;Tunggal;Daun kedondong, segar;81;59;3,5;0,3;13,4;10,7;1,8;540;82;6,2;12;579;-;-;-;1.624;2.900;0,06;0,2;1,5;29;65;Sayur;DABM-1964;;;;;;;;
481;DR038;Tunggal;Daun kelor, segar;75,5;92;5,1;1,6;14,3;8,2;3,5;1.077;76;6;61;298;0,1;0,6;-;3.266;-;0,3;0,1;4,2;22;65;Sayur;KZGMI-2001;;;;;;;;
482;DR039;Tunggal;Daun kemangi, segar;85;43;5,5;0,3;7,5;8,4;1,7;35;106;1;10;457,1;-;-;-;1.282;1.017;0,06;0,1;1,2;30;65;Sayur;DABM-1964;;;;;;;;
483;DR040;Tunggal;Daun kenikir, segar;87,6;45;3,7;0,5;6,6;5,8;1,7;328;65;2,7;431;431;0,1;0,6;-;30.000;12;0,5;0,3;4,5;0,2;36;Sayur;BKP;;;;;;;;
484;DR041;Tunggal;Daun kesum, segar;84,8;48;4,5;0,8;9,1;1,6;0,8;125;142;2,6;11;174,7;0,4;1,2;-;4.216;8.715;0,01;0,1;1,6;4;53;Sayur;KZGPI-1990;;;;;;;;
485;DR042;Tunggal;Daun kol sawi, segar;93,1;22;2,1;0,5;3,6;0,9;0,7;200;92;3,2;19;386,2;0,1;0,2;-;1.806;2.177;0,03;0,2;0,6;3;87;Sayur;KZGPI-1990;;;;;;;;
486;DR043;Tunggal;Daun koro, segar;91;23;3;0,3;3,7;-;2;134;81;6,2;4;68,4;0,2;0,5;-;2.386;5.240;0,28;0,2;1,3;29;65;Sayur;DABM-1964;;;;;;;;
487;DR044;Tunggal;Daun kubis, segar;86,2;51;2,5;1,1;8;3,4;2,2;100;50;3,4;50;100;0,9;0,6;-;3.612;-;0,4;0,1;0,2;16;75;Sayur;KZGMI-2001;;;;;;;;
488;DR045;Tunggal;Daun kumak, segar;95,2;14;1,3;0,3;2,3;0,9;0,9;90;59;2,7;2;36,5;0,1;0,3;-;1.274;2.961;0,01;-;0,5;3;78;Sayur;KZGPI-1990;;;;;;;;
489;DR046;Tunggal;Daun labu siam, segar;89,7;34;4;0,4;4,7;3,5;1,2;58;70;2,5;16;630,7;0,2;0,3;-;4.773;2.025;0,08;0,4;1,7;16;100;Sayur;DABM-1964;;;;;;;;
490;DR047;Tunggal;Daun labu waluh/kuning, segar;89,7;34;3,6;0,6;4,5;2,9;1,6;138;99;3,7;16;630,7;0,2;0,3;-;1.258;2.750;0,14;0,2;1,3;36;70;Sayur;DABM-1964;;;;;;;;
491;DR048;Tunggal;Daun lamtoro, segar;74;87;8,3;1,8;14,4;3,3;1,5;725;174;3,9;10;197,7;0,5;1,4;-;6.900;13.040;-;0,1;2,3;32;40;Sayur;KZGPI-1990;;;;;;;;
492;DR049;Tunggal;Daun leilem, segar;79,4;76;2,8;0,2;15,8;3,1;1,8;296;22;3,4;6;46;0,5;1,1;-;753;-;0,3;0,1;2,5;22;90;Sayur;KZGMI-2001;;;;;;;;
493;DR050;Tunggal;Daun leunca, segar;85;49;4,7;0,5;8,1;-;1,7;210;80;6,1;-;-;-;-;-;-;1.900;0,14;-;-;40;70;Sayur;DABM-1964;;;;;;;;
494;DR051;Tunggal;Daun lobak, segar;90;30;2,3;0,4;5,8;3,2;1,4;140;33;3,7;16;747,4;0,2;0,2;-;5.039;1.000;0,07;1,1;6,5;109;70;Sayur;DKBM-1964;;;;;;;;
495;DR052;Tunggal;Daun lompong talas, segar;87,2;44;3;0,8;7,4;3,3;1,6;76;59;1;3;578,4;0,2;0,4;-;2.584;2.000;0,08;0,4;1,4;31;75;Sayur;DABM-1964;;;;;;;;
496;DR053;Tunggal;Daun mangkokan, segar;82;57;3,7;0,3;11,8;-;2,2;474;49;4;-;-;-;-;-;-;5.450;0,06;-;-;83;80;Sayur;DABM-1964;;;;;;;;
497;DR054;Tunggal;Daun matel ambon, segar;77,1;71;6,8;1,6;11,5;4,6;3;93;95;10,2;-;-;-;-;-;-;49;0,08;-;-;26;100;Sayur;KZGPI-1990;;;;;;;;
498;DR055;Tunggal;Daun melinjo, segar;70,8;104;5;1,3;21,3;10,3;1,6;219;82;4,2;12;604,8;0,4;0,6;-;823;10.000;0,09;-;-;182;88;Sayur;DABM-1964;;;;;;;;
499;DR056;Tunggal;Daun mengkudu, segar;80,9;65;4;1,7;11,4;3,9;2;296;40;6,9;-;-;-;-;-;2;4.958;0,01;0,1;5,7;35;90;Sayur;KZGPI-1990;;;;;;;;
500;DR057;Tunggal;Daun ndusuk, segar;56;166;1,7;0,5;38,8;10,7;3;40;20;1,8;40;310;0,2;0,7;-;14.457;-;0,4;0,1;0,1;30;-;Sayur;KZGMI-2001;;;;;;;;
501;DR058;Tunggal;Daun oyong, segar;93;22;1;0,1;5,3;2;0,6;21;44;2;40;295,5;0,1;0,2;-;855;1.000;0,08;0,1;0,8;150;65;Sayur;DABM-1964;;;;;;;;
502;DR059;Tunggal;Daun pakis, segar;86,8;39;4,5;0,4;6,9;2;1,4;136;159;2,3;20;201,9;0,2;0,3;-;1.625;3.292;0,02;0,1;0,5;3;70;Sayur;KZGPI-1990;;;;;;;;
503;DR060;Tunggal;Daun pakis longgiho, segar;89,5;54;2,2;3,6;3,1;2,1;1,6;40;80;0,7;70;500;0,4;0,1;-;168;-;0,4;0,3;0,2;8;70;Sayur;KZGMI-2001;;;;;;;;
504;DR061;Tunggal;Daun pakis wambateu, segar;86,9;53;3,4;1,2;7,2;4,8;1,3;30;100;0,3;20;200;0,2;0,3;-;191;-;0,7;0,2;0,3;6;70;Sayur;KZGMI-2001;;;;;;;;
505;DR062;Tunggal;Daun paku, segar;88,8;29;3,4;0,1;6,5;4,3;1,2;13;88;1,3;19;434;0,5;0,7;-;18;-;0,2;0,1;11,7;10;70;Sayur;KZGMI-2001;;;;;;;;
506;DR063;Tunggal;Daun pangi,segar;76,1;104;3,9;0,6;17,9;8,3;1,5;256;22;1,8;4;266;1,7;0,5;-;55;-;0,4;0,1;0,1;23;90;Sayur;KZGMI-2001;;;;;;;;
507;DR064;Tunggal;Daun pare, segar;87,3;49;2,7;1;8,4;3;1,6;217;70;3,3;7;498;0,4;1,2;-;1.800;-;0,4;0,2;0,6;7;-;Sayur;KZGMI-2001;;;;;;;;
508;DR065;Tunggal;Daun pepaya, segar;75,4;87;8;2;11,9;1,5;2,7;353;63;0,8;4;926,6;0,2;1,5;-;5.409;18.250;0,15;0,5;1,9;140;71;Sayur;DABM-1964;;;;;;;;
509;DR066;Tunggal;Daun pohpohan, segar;87,4;37;2,5;0,8;6,9;2,6;2,4;744;80;5,9;-;-;-;-;-;-;7.378;0,03;-;-;5;69;Sayur;KZGPI-1990;;;;;;;;
510;DR067;Tunggal;Daun selasih, segar;83,1;62;4;0,5;10,5;5,3;1,9;122;16;13,9;3;259;0,4;0,7;-;4.112;-;0,5;0,1;0,2;24;53;Sayur;KZGMI-2001;;;;;;;;
511;DR068;Tunggal;Daun semanggi, segar;84,7;45;4,4;0,5;8,5;1,9;1,9;98;90;7;64;520,7;0,5;0,3;-;64;3.365;0,01;0,5;0,7;6;90;Sayur;KZGPI-1990;;;;;;;;
512;DR069;Tunggal;Daun simpur, segar;86,2;53;3,2;2,5;7,6;1,6;0,9;228;194;3,5;-;-;-;-;-;-;3.346;0,02;-;-;5;100;Sayur;KZGPI-1990;;;;;;;;
513;DR070;Tunggal;Daun singkil, segar;80,9;68;2;1;15,2;3,3;0,9;178;86;2,1;-;-;-;-;-;-;6.042;0,02;-;-;3;70;Sayur;KZGPI-1990;;;;;;;;
514;DR071;Tunggal;Daun singkong, segar;84,4;50;6,2;1,1;7,1;2,4;1,2;166;99;1,3;17;23,1;0,1;2;-;3.204;7.052;0,04;0,1;1,8;103;87;Sayur;KZGPI-1990;;;;;;;;
515;DR072;Tunggal;Daun singkong ambon, segar;58;144;12,7;1,2;25,2;10,2;2,9;165;54;3,9;44;62,2;0,2;5,4;-;8.627;13.000;0,21;1;4,2;220;87;Sayur;DABM-1964;;;;;;;;
516;DR073;Tunggal;Daun singkong ampenan, segar;84,4;50;6,2;1,1;7,1;2,4;1,2;352;123;2,7;49;570;0,2;1,3;-;7.917;-;0,5;0,1;1,6;103;87;Sayur;KZGMI-2001;;;;;;;;
517;DR074;Tunggal;Daun singkong kopang, segar;81,1;74;6,3;0,7;10,7;4,6;1,2;142;115;1,7;32;382;0,2;1,5;-;3.882;-;0,5;0,5;1,9;211;87;Sayur;KZGMI-2001;;;;;;;;
518;DR075;Tunggal;Daun sintrong, segar;88,5;36;2,6;0,9;6,1;1,7;1,9;398;95;9,3;64;444,4;0,1;0,4;-;10.178;8.868;0,03;0,2;0,9;3;94;Sayur;KZGPI-1990;;;;;;;;
519;DR076;Tunggal;Daun talas, segar;81,1;59;3;0,4;13,5;3;2;236;50;2,4;4;854,1;0,4;0,5;-;3.816;5.740;0,07;0,6;2;24;80;Sayur;KZGPI-1990;;;;;;;;
520;DR077;Tunggal;Daun tespong, segar;81;70;2,9;0,3;13,9;2,3;1,9;155;65;2,5;72;-;0,15;0,9;-;171;2.500;0,05;0,7;1,4;21;60;Sayur;DABM-1964;;;;;;;;
521;DR078;Tunggal;Daun ubi kuning, segar;83,5;62;3,7;0,3;11,1;6,4;1,4;170;40;0,6;10;-;0,2;0,5;-;3.564;-;0,3;0,3;1,2;4;75;Sayur;KZGMI-2001;;;;;;;;
522;DR079;Tunggal;Daun ubi merah, segar;84,4;48;3;0,3;10,8;1,4;1,5;80;81;6,4;33;517,3;-;0,4;-;5.453;4.697;0,1;0,2;1,2;27;75;Sayur;KZGPI-1990;;;;;;;;
523;DR080;Tunggal;Daun ubi putih, segar;87,5;46;2,8;0,2;8,2;4,8;1,3;120;50;0,8;10;-;0,2;0,5;-;103;-;0,3;0,3;0,9;8;75;Sayur;KZGMI-2001;;;;;;;;
524;DR081;Tunggal;Daun ubi tinta, segar;85,1;55;1,7;0,1;11,9;7,6;1,2;120;40;0,6;10;-;0,2;0,5;-;516;-;0,2;-;-;7;75;Sayur;KZGMI-2001;;;;;;;;
525;DR082;Tunggal;Eceng, segar;93;19;1;0,2;3,8;1,8;2;80;45;3,7;45;634,1;-;-;-;7;1.000;0,08;0,1;0,7;50;70;Sayur;DABM-1964;;;;;;;;
526;DR083;Tunggal;Gambas (oyong), segar;94,5;19;0,8;0,2;4,1;1,3;0,4;19;33;0,9;23;109,1;-;0,1;-;17;380;0,03;-;0,4;8;85;Sayur;DABM-1964;;;;;;;;
527;DR084;Tunggal;Genjer, segar;90;35;1,7;0,2;7,7;2,5;0,4;62;33;2,1;64;905,8;-;-;-;-;3.800;0,07;0,1;1,1;54;70;Sayur;DABM-1964;;;;;;;;
528;DR085;Tunggal;Jagung muda / semi, segar;89,5;35;2,2;0,1;7,4;1,9;0,8;7;100;0,5;353;230,2;0,1;0,8;-;23;200;0,08;0,16;0,9;8;100;Sayur;DABM-1964;;;;;;;;
529;DR086;Tunggal;Jamur encik;24,8;296;9,4;1,1;62;-;2,7;5;277;5,3;2;-;0,2;3,1;-;-;-;1,1;0,1;-;-;95;Sayur;KZGMI-2001;;;;;;;;
530;DR087;Tunggal;Jamur kuping, kering;14,9;294;16;0,9;64,6;46,5;3,6;51;223;6,7;174;726,1;0,29;5,5;-;11;-;0,11;0,6;2,7;-;100;Sayur;DABM-1964;;;;;;;;
531;DR088;Tunggal;Jamur kuping, segar;93,7;21;3,8;0,6;0,9;5,1;1;3;94;1,7;17;33,4;0,19;0,1;-;1;-;0,1;0,09;0,1;5;100;Sayur;DABM-1964;;;;;;;;
532;DR089;Tunggal;Jamur merang, segar;91,5;30;3,5;0,2;4;2,4;0,8;14;117;1;300;300;0,3;0,8;-;-;-;0,02;0,2;0,5;0,2;100;Sayur;BKP;;;;;;;;
533;DR090;Tunggal;Jamur tiram, segar;92,5;30;1,9;0,1;5,5;3,6;0,6;9;83;0,7;226;226;-;0,8;-;-;-;0,3;0,2;1;0,2;100;Sayur;BKP;;;;;;;;
534;DR091;Tunggal;Jamur sagu;91,3;48;1,9;3,2;2,8;1;0,8;10;90;0,6;100;440;0,6;0,6;-;-;-;0,2;0,2;6,5;-;95;Sayur;KZGMI-2001;;;;;;;;
535;DR092;Tunggal;Jantung pisang, segar;90,2;32;1,2;0,3;7,1;3,2;1,2;30;50;0,1;3;524;0,09;0,3;-;201;170;0,05;0,03;0,8;10;25;Sayur;DABM-1964;;;;;;;;
536;DR093;Tunggal;Jengkol, segar;52,7;192;5,4;0,3;40,7;1,5;0,9;4;150;0,7;60;241;0,3;0,6;-;-;-;0,05;0,2;0,5;31;95;Sayur;KZGMI-2001;;;;;;;;
537;DR094;Tunggal;Jotang, segar;89;34;1,9;0,3;7,1;3,5;1,7;162;41;4;59;388,5;0,3;1,2;-;2;3.918;0,03;-;0,4;20;70;Sayur;DABM-1964;;;;;;;;
538;DR095;Tunggal;Kabau, segar;67,2;130;6,7;0,3;25,2;2,9;0,6;4;204;0,5;1;397,8;0,2;0,5;-;165;-;0,8;0,1;0,3;16;95;Sayur;KZGMI-2001;;;;;;;;
539;DR096;Tunggal;Kacang mekah, polong, segar;93,6;22;1,1;1;3,4;1,1;0,9;63;296;1;2;69,2;0,3;-;-;197;116;0,02;-;0,4;-;91;Sayur;KZGPI-1990;;;;;;;;
540;DR097;Tunggal;Kacang panjang, segar;91,8;31;2,3;0,1;5,3;2,7;0,5;60;64;0,6;30;213;0,1;0,5;-;125;-;0,7;0,1;0,3;46;92;Sayur;KZGMI-2001;;;;;;;;
541;DR098;Tunggal;Kacang ranti polong;88,5;37;3,1;0,2;7,9;2,5;0,3;103;126;0,8;-;-;-;-;-;-;2.312;0,02;-;-;6;83;Sayur;KZGPI-1990;;;;;;;;
542;DR099;Tunggal;Kalakai, segar;89,9;38;2,4;0,2;6,6;5,8;0,9;18;90;1,1;7;443;0,4;0,9;-;44;-;0,3;0,1;-;8;70;Sayur;KZGMI-2001;;;;;;;;
543;DR100;Tunggal;Kangkung, segar;91;28;3,4;0,7;3,9;2;1;67;54;2,3;65;250,1;0,13;0,4;-;2.868;5.542;0,07;0,36;2;17;60;Sayur;KZGPI-1990;;;;;;;;
544;DR101;Tunggal;Kangkung tondano;88,5;43;1,8;0,2;8,4;4,3;1,1;72;9;0,7;30;361;0,3;0,4;-;2.741;-;0,8;0,1;1,1;23;60;Sayur;KZGMI-2001;;;;;;;;
545;DR102;Tunggal;Kapri muda, segar;86,8;45;3,3;0,2;9;1,8;0,7;51;85;1;2;118,4;0,09;0,7;-;72;440;0,2;0,1;0,9;49;80;Sayur;DABM-1964;;;;;;;;
546;DR103;Tunggal;Karawila;93,7;25;2,3;0,2;3,5;2,1;0,3;25;67;0,3;8;88,4;0,08;0,3;-;21;-;0,1;0,1;0,4;39;80;Sayur;KZGMI-2001;;;;;;;;
547;DR104;Tunggal;Kecipir muda, segar;90,4;32;2,9;0,2;5,8;5,5;0,7;63;37;0,3;3;103,8;0,18;0,4;-;261;595;0,24;0,11;0,7;19;96;Sayur;DABM-1964;;;;;;;;
548;DR105;Tunggal;Kecombrang, segar;90;34;0,9;1;6,7;2,6;1,4;60;16;1;47;650,6;-;-;-;-;73;-;0,02;0,8;-;100;Sayur;KZGPI-1990;;;;;;;;
549;DR106;Tunggal;Kelawi,kluwih, segar;70;118;1,5;0,3;27,2;5;1;28;32;0,9;2;500,9;0,09;0,1;-;-;20;0,1;0,03;0,9;19;77;Sayur;DABM-1964;;;;;;;;
550;DR107;Tunggal;Kembang turi, segar;87,4;51;1,8;0,6;9,6;5;0,6;23;29;0,9;22;275,3;0,15;0,9;-;201;105;0,13;0,12;0,6;41;83;Sayur;DABM-1964;;;;;;;;
551;DR108;Tunggal;Kerokot, segar;93;26;1,7;0,4;3,8;1;1,1;103;39;3,6;4;240,5;0,23;0,9;-;0,2;2.550;0,03;0,09;0,2;25;80;Sayur;DABM-1964;;;;;;;;
552;DR109;Tunggal;Ketimun, segar;97,9;8;0,2;0,2;1,4;0,3;0,3;29;95;0,8;2;57,1;0,02;0,1;-;18;314;0,01;0,02;0,1;1;55;Sayur;KZGPI-1990;;;;;;;;
553;DR110;Tunggal;Ketimun krai, segar;96,8;10;0,5;0,2;2;0,6;0,5;20;98;1;10;82,1;0,03;0,1;-;19;21;0,02;0,03;0,1;3;82;Sayur;KZGPI-1990;;;;;;;;
554;DR111;Tunggal;Ketimun madura, segar;97,1;9;0,5;0,1;1,9;0,7;0,4;15;102;0,6;2;78,9;0,02;0,1;-;25;-;0,02;0,02;0,1;5;89;Sayur;KZGPI-1990;;;;;;;;
555;DR112;Tunggal;Komak, segar;74,3;99;3,3;0,1;21,2;10,3;1,1;50;99;13,1;15;567;0,2;0,6;-;5;-;0,2;0,19;0,1;-;80;Sayur;KZGMI-2001;;;;;;;;
556;DR113;Tunggal;Kembang Kol;91,7;25;2,4;0,2;4,9;1,6;0,8;22;72;1,1;47;187;0,04;0,3;-;24;90;0,11;0,09;0,6;69;57;Sayur;DABM-1964;;;;;;;;
557;DR114;Tunggal;Kol merah, kol putih;92,4;29;1,4;0,2;5,3;1,9;0,9;46;31;0,5;28;236,8;0,29;0,3;-;46;80;0,06;0,07;0,3;50;75;Sayur;DABM-1964;;;;;;;;
558;DR115;Tunggal;Koro kerupuk, polong;67,2;128;8,3;0,7;22,1;-;1,7;17;12;2,7;-;-;-;-;-;-;80;0,11;-;-;31;68;Sayur;DABM-1964;;;;;;;;
559;DR116;Tunggal;Koro wedus, polong;88;46;3;0,3;7,9;3,3;0,8;56;47;1,1;2;249,3;0,09;0,4;-;66;870;0,09;0,09;0,5;17;70;Sayur;DABM-1964;;;;;;;;
560;DR117;Tunggal;Kucai, segar;86,3;45;2,2;0,3;10,3;4,8;0,9;52;50;1,1;21;439,5;0,11;0,5;-;2.685;40;0,11;0,2;1,8;17;52;Sayur;DABM-1964;;;;;;;;
561;DR118;Tunggal;Kucai muda (Lokio), segar;86;42;3,8;0,6;7,8;4,9;1,8;76;91;2,5;22;449,1;0,11;0,5;-;2.744;500;0,11;0,2;1,8;59;100;Sayur;DABM-1964;;;;;;;;
562;DR119;Tunggal;Kulit melinjo;71,9;111;4,5;1,1;20,7;5;1,8;117;179;2,6;-;-;-;-;-;-;1.267;0,07;-;-;7;100;Sayur;KZGPI-1990;;;;;;;;
563;DR120;Tunggal;Kundur, segar;94;22;0,4;0,2;4,7;1,3;0,7;3;54;0,5;2;200;0,1;0,3;-;7;-;0,1;0,03;0,4;1;57;Sayur;KZGMI-2001;;;;;;;;
