No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1094;MP002;Olahan;Coklat pahit,batang;2.3;615;5.5;42.6;29.2;10.8;10.1;98;446;4.4;20;708.3;1.7;3.3;2;60;-;0.05;0.08;-;-;100;Gula;DABM-1964
1095;MP003;Olahan;Coklat susu, batang;1.0;565;9.0;35.0;53.6;3.4;1.4;200;200;2.0;100;405.5;0.49;2.3;54;30;-;0.08;0.45;0.5;-;100;Gula;DABM-1964
1096;MP004;Olahan;Coklat bubuk;3.9;311;8.0;4.0;48.9;32.6;15.4;125;715;11.6;-;-;0.04;26.4;-;30;30;0.12;-;0.6;-;100;Gula;DABM-1964
1097;MP005;Olahan;Gula aren;7.0;368;3.0;-;92.0;-;1.0;75;35;3.0;15;390.4;-; -;-;-;-;-;0.01;0.5;-;100;Gula;DABM-1964
1098;MP006;Olahan;Gula kelapa;10.0;386;-;10.0;76.0;-;1.0;76;37;2.6;2;-;-;-;-;-;-;-;0.34;0.5;-;100;Gula;DABM-1964
1099;MP007;Olahan;Gula putih;5.4;394;-;-;94.0;-;0.6;5;1;0.1;1;4.8;-;-;-;-;-;-;-;-;-;100;Gula;DABM-1964
1100;MP008;Olahan;Jam, selai;34.0;239;0.5;0.6;64.5;1.0;0.4;20;20;1.0;30;73.1;0.09;-;-;-;-;0.01;0.07;0.0;-;100;Gula;DABM-1964
1101;MP009;Olahan;Kopi bubuk instant;2.6;129;12.3;0.5;35.0;-;9.7;179;383;5.6;72;3256.00;0.14; -;-;-;-;-;0.21;30.6;-;100;Gula;FCTEA-1972
1102;MP010;Olahan;Madu;20.0;294;0.3;-;79.5;0.2;0.2;5;16;0.9;6;26.9;0.04;0.2;-;-;-;-;0.04;0.1;4.0;100;Gula;DABM-1964
1103;MP011;Olahan;Markisa squash;46.7;217;2.5;1.0;49.6;-;0.2;6;83;0.6;14;65;-;0.1;-;23;75;0.07;0.02;-;14.0;-;Gula;KZGMI-2001
1104;MP012;Olahan;Markisa squash, BD;74.4;104;1.2;0.5;23.7;-;0.2;1;88;0.5;40;40;-;0.1;-;7;40;0.20;0.02;-;12.0;-;Gula;KZGMI-2001
1105;MP013;Olahan;Melase;21.2;276;-;0.1;71.0;-;7.7;6;83;0.6;14;-;-;0.3;-;-;-;0.04;-;-;-;100;Gula;DABM-1964
1106;MP014;Olahan;Sirup;44.0;213;-;-;55.0;-;1.0;-;-;-;3;4.2;-;-;-;-;-;-;-;-;-;100;Gula;DABM-1964
1107;MP015;Olahan;Sirup pirous;43.3;228;0.2;0.4;55.9;-;0.2;470;93;29.5;3;4.2;-;-;-;-;-;-;-;-;8.0;100;Gula;KZGMI-2001
1108;MP016;Tunggal;Teh hijau daun kering;7.7;300;28.3;4.8;53.6;9.6;5.6;245;415;18.9;60;5873.90;0.50;-;-;8400;-;0.38;1.24;4.6;230.0;100;Gula;FCTEA-1972
