Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0228,mangga sepat,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"      400,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"       14,000",,"        0,000","       36,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0229,mangga telo,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0230,manggis,,"      247,000",,"        0,200","        0,400","       15,300","        2,700",,,,"        5,000","        0,000",,"        0,000","        1,000",,,"        0,020","        0,010","        0,100",,"        0,060","        0,050",,,"        3,000",,"        0,000","        6,000","        0,000","      115,000","        7,000","        5,000","        7,000",,,"        0,200","        0,000","        0,040","        0,050",,,,,
ZIN0231,matuwa,,"      247,000",,"        0,200","        0,400","       15,300","        2,700",,,,"        5,000","        0,000",,"        0,000","        1,000",,,"        0,020","        0,010","        0,100",,"        0,060","        0,050",,,"        3,000",,"        0,000","        6,000","        0,000","      115,000","        7,000","        5,000","        7,000",,,"        0,200","        0,000","        0,040","        0,050",,,,,
ZIN0232,melinjo (buah),,"      197,000",,"        0,900","        0,100","       11,800","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,090","        0,040","        0,300",,"        0,250","        0,060",,,"       30,000",,"        0,000","       53,000","        0,000","      181,000","       40,000","       10,000","       14,000",,,"        0,100","        0,100","        0,050","        0,030",,,,,
ZIN0233,menteng / kemundung,,"      247,000",,"        0,200","        0,400","       15,300","        2,700",,,,"        5,000","        0,000",,"        0,000","        1,000",,,"        0,020","        0,010","        0,100",,"        0,060","        0,050",,,"        3,000",,"        0,000","        6,000","        0,000","      115,000","        7,000","        5,000","        7,000",,,"        0,200","        0,000","        0,040","        0,050",,,,,
ZIN0234,nanas,,"      205,000",,"        0,400","        0,400","       12,400","        1,200",,,,"        2,000","        0,000",,"        0,000","        0,000",,,"        0,090","        0,040","        0,400",,"        0,160","        0,090",,,"       11,000",,"        0,000","       15,000","        1,000","      113,000","        7,000","       14,000","        7,000",,,"        0,400","        0,100","        0,110","        1,650",,,,,
ZIN0235,nangka masak di pohon,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0236,pepaya,,"      163,000",,"        0,600","        0,100","        9,800","        1,800",,,,"      135,000","        0,000",,"        0,000","        1,000",,,"        0,030","        0,030","        0,300",,"        0,220","        0,020",,,"       38,000",,"        0,000","       62,000","        3,000","      257,000","       24,000","       10,000","        5,000",,,"        0,100","        0,100","        0,020","        0,010",,,,,
ZIN0237,pepaya muda mentah,,"       92,000",,"        1,000","        0,400","        4,500","        2,800",,,,"       13,000","        0,000",,"        0,000","        0,000",,,"        0,060","        0,060","        0,300",,"        0,140","        0,110",,,"       20,000",,"        0,000","       20,000","        8,000","       97,000","       31,000","        8,000","       15,000",,,"        0,200","        0,100","        0,010","        0,120",,,,,
