(g);;;;;(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
45;AP045;Olahan;Dodol kedondong;26,4;331;1,9;7,6;63,8;1;0,4;90;55;2,3;-;-;-;-;-;-;408;0,11;-;0,8;5;100;Serealia;KZGPI-1990;;;;;;;;
46;AP046;Olahan;Dodol manado;26,1;373;4,3;16,5;51,9;0,4;1,2;41;142;2,4;35;72;0,3;2,1;-;-;-;0,04;0,06;2,1;-;100;Serealia;KZGMI-2001;;;;;;;;
47;AP047;Olahan;Emping beras;13,6;403;10,6;2,2;85,3;0,2;1,9;11;240;0,3;1;113;0,3;2,4;-;-;-;-;0,16;-;-;100;Serealia;KZGMI-2001;;;;;;;;
48;AP048;Olahan;Gemblong;36,2;274;1,7;5,4;55,5;2,2;1,2;69;55;3,3;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
49;AP049;Olahan;Gendar goreng;30,4;407;6,4;28,2;32;0,1;3;216;62;1,6;-;-;-;-;-;-;184;0,16;-;0,6;-;100;Serealia;KZGPI-1990;;;;;;;;
50;AP050;Olahan;Intip goreng;6,5;474;7,6;21,6;62,3;1,2;2;36;64;2,5;-;38;0,05;0,5;-;-;200;0,25;0,03;0,8;-;100;Serealia;KZGPI-1990;;;;;;;;
51;AP051;Olahan;Jagung gerontol;61,7;156;2,7;1,3;33,3;1;0,8;51;105;1,2;-;-;-;-;-;-;162;0,08;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
52;AP052;Olahan;Jagung titi;9,2;374;9,4;2,2;79,1;0,8;0,1;14;142;2,9;-;-;9;-;-;-;11.507;0,2;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
53;AP053;Olahan;Japilus;3,8;500;1,2;25,1;67,3;0,4;2,7;186;29;4,9;-;-;-;-;-;-;-;0,17;0,03;0,4;-;100;Serealia;KZGPI-1990;;;;;;;;
54;AP054;Olahan;Kakicak;43,9;296;3,4;15,1;36,7;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
55;AP055;Olahan;Kambose;61,5;164;3;2,4;32,6;4,3;0,7;16;36;0,7;-;32;0,1;1,6;-;256;-;0,1;0,1;0,4;-;100;Serealia;KZGMI-2001;;;;;;;;
56;AP056;Olahan;Kapusa;63,5;158;4,4;3,2;27,8;5,3;1;79;115;1,2;104;149;0,5;1,1;-;1.374;-;0,06;0,05;0,1;-;100;Serealia;KZGMI-2001;;;;;;;;
57;AP057;Olahan;Keddo bodong;33,9;290;4,6;5,7;55,2;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
58;AP058;Olahan;Kelepon, kue;49,6;215;3,7;3,7;41,8;1;1,2;232;45;3,3;-;-;-;-;-;-;872;0,09;0,07;0,2;-;100;Serealia;KZGMI-2001;;;;;;;;
59;AP059;Olahan;Kereput;3,5;580;4,8;39,6;51,1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
60;AP060;Olahan;Ketoprak;69,1;153;7,9;7,7;13;2,9;2,6;153;134;3,4;-;-;-;-;3;-;435;0,05;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
61;AP061;Olahan;Ketupat kandangan;78,5;109;2,2;5,2;13,4;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
62;AP062;Olahan;Koya;13,2;366;4,2;4,3;77,5;0,8;0,8;153;222;7;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
63;AP063;Olahan;Koya mirasa;7,2;370;8;1;82,2;0,4;1,6;83;110;17;-;-;-;-;3;-;144;0,19;0,45;2,6;-;100;Serealia;KZGMI-2001;;;;;;;;
64;AP064;Olahan;Koyabu;44,2;241;3,4;4,3;47,2;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
65;AP065;Olahan;Kue ali;12,8;440;3,8;18,5;64,5;0,3;0,4;27;47;2,5;-;-;-;-;-;-;-;0,13;0,09;-;-;100;Serealia;KZGMI-2001;;;;;;;;
66;AP066;Olahan;Kue bangen;5,6;442;3,3;14,7;74,2;-;2,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
67;AP067;Olahan;Kue gelang;7,1;448;5,8;16,1;70;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
68;AP068;Olahan;Kue jahe;3,7;425;1,6;8,8;84,6;1,2;1,3;155;61;4;-;-;-;-;-;-;-;0,2;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
69;AP069;Olahan;Kue kelapa;3,3;591;5,6;42,1;47,5;-;1,5;32;180;1,6;33;443;0,5;1,1;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
70;AP070;Olahan;Kue koa;14,5;340;4,8;0,4;79,3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
71;AP071;Olahan;Kue ku temu;46,2;214;3,5;0,2;49,6;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
72;AP072;Olahan;Kue lumpur;40,1;291;3,6;11,1;44,1;-;1,1;96;60;2,3;-;-;-;-;20;-;400;0,24;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
73;AP073;Olahan;Kue pelita;71;141;5,3;5,5;17,6;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
74;AP074;Olahan;Kue putu cangkir;32,6;304;5,3;7;54,9;0,9;0,2;18;193;4;-;-;-;-;-;-;-;0,06;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
75;AP075;Olahan;Kue sus;56,6;221;7,5;10,2;24,8;-;0,9;105;85;2,5;-;-;-;-;26;-;1.300;0,12;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
76;AP076;Olahan;Kue thipan;43;247;2,9;4,2;49,5;-;0,4;16;107;1,8;95;56;1,3;0,8;-;-;-;0,17;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
77;AP077;Olahan;Laksa/Putu mayang;73,2;121;1,7;3,4;21,1;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
78;AP078;Olahan;Lapis legit;21,3;389;6,6;15,7;55,5;0,5;0,9;16;136;1,9;-;-;-;-;41;-;1.032;0,26;0,09;3;-;100;Serealia;KZGPI-1990;;;;;;;;
79;AP079;Olahan;Lupis ketan;61;164;1,8;2,1;34,5;0,7;0,6;119;31;1,5;-;-;-;-;-;-;-;0,09;-;0,2;-;100;Serealia;KZGPI-1990;;;;;;;;
80;AP080;Olahan;Manan samin;27,1;379;3,4;18,1;50,6;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
81;AP081;Olahan;Martabak india;65,8;153;4,5;4,2;24,3;-;1,2;14;108;2,4;240;112;0,4;0,5;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
82;AP082;Olahan;Martabak mesir;40,2;278;5,1;8,6;45;-;1,1;49;168;3,4;193;123;0,2;0,9;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
83;AP083;Olahan;Masekat;15,6;369;2,1;7;74,1;4;0,8;17;52;0,8;141;12;0,4;0,3;155;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
84;AP084;Olahan;Mie aceh rebus;74,6;113;3;3,2;18,1;-;1,1;22;44;1,4;191;36;0,2;0,3;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
85;AP085;Olahan;Mie ayam;78,6;102;6,2;3,9;10,5;-;0,8;262;51;1,8;279;-;-;-;39;-;166;0,85;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
86;AP086;Olahan;Mie bakso;74,5;114;5,3;3;16,4;0,1;0,8;286;53;1,9;760;-;-;-;17;-;180;0,16;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
87;AP087;Olahan;Mie celon;75,9;102;3;2,1;17,8;-;1,2;12;84;1,4;451;112;0,1;0,5;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
88;AP088;Olahan;Mie pangsit basah;79,2;105;5,9;4,9;9,4;-;0,7;208;48;2;530;-;-;-;25;-;620;0,46;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
89;AP089;Olahan;Nasi gemuk;61,4;192;3,8;8,8;24,4;0,7;1,6;15;74;1;355;63;0,2;1,4;-;-;-;0,19;0,05;2;-;100;Serealia;KZGMI-2001;;;;;;;;
90;AP090;Olahan;Nasi gurih;60,5;190;4,7;7,5;26;0,7;1,3;12;62;0,8;296;52;0,2;1,2;-;-;-;0,11;0,06;2,1;-;100;Serealia;KZGMI-2001;;;;;;;;
91;AP091;Olahan;Nasi minyak;53,3;207;3,5;5;37,1;0,8;1,1;26;100;1,5;74;174;0,2;2,2;-;-;-;0,14;0,07;2,6;-;100;Serealia;KZGMI-2001;;;;;;;;
92;AP092;Olahan;Nasi rames;65,8;155;10,3;4,2;19,1;-;0,6;239;62;1,8;265;-;-;-;96;-;3.140;0,59;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
93;AP093;Olahan;Nopia spesial;11,5;387;5,3;7,6;74,3;0,3;1,3;903;133;4,2;-;-;-;-;-;-;512;0,17;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
94;AP094;Olahan;Onde-onde;27,7;336;4;9,8;57,9;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
95;AP095;Olahan;Padamaran;67,6;171;3,9;8,9;18,8;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
96;AP096;Olahan;Pastel;38,3;307;4,5;13,3;42,4;-;1,5;296;53;2,5;-;-;-;-;-;-;5.360;0,15;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
97;AP097;Olahan;Pulut;49,1;216;2,6;3,1;44,4;-;0,8;6;70;3,8;100;22;0,4;1,3;-;-;-;0,14;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
98;AP098;Olahan;Pundut nasi;77,8;104;1,9;4,1;15,1;0,4;1,1;26;100;1,5;74;174;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
99;AP100;Olahan;Putri selat;66,6;163;2,2;6,5;23,8;-;0,9;72;3;4;6;68;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
100;AP101;Olahan;Putu sopa;50,7;215;3,3;4,1;41,1;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
101;AP102;Olahan;Renggi goreng;8,8;471;4,7;21,8;64,1;6,4;0,6;4;80;1,1;126;29;0,9;1,3;-;-;-;0,53;0,05;8,2;-;100;Serealia;KZGMI-2001;;;;;;;;
102;AP103;Olahan;Roti boong;34;341;5,5;16,2;43,3;-;1;15;65;1,1;161;41;-;0,9;-;-;-;0,4;0,3;2,4;-;100;Serealia;KZGMI-2001;;;;;;;;
103;AP104;Olahan;Roti warna sawo matang;40;249;7,9;1,5;49,7;-;0,9;20;140;2,5;500;91;-;-;-;-;-;0,15;-;-;-;100;Serealia;DABM-1964;;;;;;;;
104;AP105;Olahan;Sarimuka;61,5;166;2,3;2,8;32,9;-;0,5;36;13;2;3;34;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
105;AP106;Olahan;Spaghetti;66,1;139;7,4;2,1;22,6;-;2,1;109;53;4,7;-;-;-;-;42;-;940;0,35;-;-;-;100;Serealia;KZGMS-1993;;;;;;;;
106;AP107;Olahan;Srikaya ketan;41;265;2,7;6,4;49,1;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
107;AP108;Olahan;Sunduk lawang;63,4;181;1,9;1,3;32,4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
108;AP109;Olahan;Suwir-suwir;13,4;347;0,5;0,9;84,2;0,8;1;42;40;4,3;-;-;-;-;1;-;240;0,13;-;0,9;-;100;Serealia;KZGPI-1990;;;;;;;;
109;AP110;Olahan;Tipa-tipa;11,3;355;6,2;1,2;79,8;1,3;1,5;17;328;1,6;-;-;-;-;-;-;-;0,26;0,04;1,5;-;100;Serealia;KZGPI-1990;;;;;;;;
110;AP111;Olahan;Wajit camilan;27,1;303;6,3;2,7;63,3;6,9;0,6;61;302;5,5;-;-;-;-;-;-;-;0,03;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
111;AP112;Olahan;Widaran;7;424;1,3;10,7;80,7;0,2;0,3;49;88;2,5;-;-;-;-;21;-;440;0,13;0,2;2,2;-;100;Serealia;KZGPI-1990;;;;;;;;
