Recipe Name,Course,Ingredient,Unit,Qty
Ayam goreng wangi,1 portion,jahe,gram,5
Ayam goreng wangi,1 portion,ketumbar bubuk,gram,2
Ayam goreng wangi,1 portion,tepung tapioka,gram,10
Ayam goreng wangi,1 portion,tepung S biru,gram,20
Ayam goreng wangi,1 portion,minyak goreng,ml,20

ikan bandeng fillet,1 portion,bandeng,gram,70
ikan bandeng fillet,1 portion,bawang putih,gram,5
ikan bandeng fillet,1 portion,penyedap,gram,2
ikan bandeng fillet,1 portion,garam,gram,2
ikan bandeng fillet,1 portion,merica,gram,1
ikan bandeng fillet,1 portion,tepung tapioka,gram,5
ikan bandeng fillet,1 portion,tepung S biru,gram,20
ikan bandeng fillet,1 portion,telur,gram,40
ikan bandeng fillet,1 portion,minyak goreng,ml,20

soto Bandung,1 portion,daging,gram,50
soto Bandung,1 portion,bawang putih,gram,5
soto Bandung,1 portion,penyedap,gram,2
soto Bandung,1 portion,garam,gram,2
soto Bandung,1 portion,bawang merah,gram,3
soto Bandung,1 portion,daun bawang,gram,10
soto Bandung,1 portion,daun jeruk,gram,1
soto Bandung,1 portion,kentang,gram,30
soto Bandung,1 portion,soun,gram,10
soto Bandung,1 portion,jahe,gram,2
soto Bandung,1 portion,bawang goreng,gram,5
soto Bandung,1 portion,serai,gram,3
soto Bandung,1 portion,krupuk,ml,10

Ayam bakar borneo,1 portion,ayam,gram,50
Ayam bakar borneo,1 portion,bawang putih,gram,3
Ayam bakar borneo,1 portion,bawang merah,gram,5
Ayam bakar borneo,1 portion,penyedap,gram,2
Ayam bakar borneo,1 portion,garam,gram,2
Ayam bakar borneo,1 portion,merica,gram,1
Ayam bakar borneo,1 portion,ketumbar bubuk,gram,2
Ayam bakar borneo,1 portion,saus tomat bakso,gram,5
Ayam bakar borneo,1 portion,kecap manis,gram,10
Ayam bakar borneo,1 portion,minyak goreng,ml,20

Ayam goreng baput,1 portion,ayam,gram,50
Ayam goreng baput,1 portion,bawang putih,gram,10
Ayam goreng baput,1 portion,penyedap,gram,2
Ayam goreng baput,1 portion,garam,gram,2
Ayam goreng baput,1 portion,merica,gram,1
Ayam goreng baput,1 portion,jahe,gram,5
Ayam goreng baput,1 portion,tepung tapioka,gram,10
Ayam goreng baput,1 portion,tepung S biru,gram,20
Ayam goreng baput,1 portion,minyak goreng,ml,20

ikan nila pesmol,1 portion,nila,gram,70
ikan nila pesmol,1 portion,bawang putih,gram,3
ikan nila pesmol,1 portion,bawang merah,gram,5
ikan nila pesmol,1 portion,penyedap,gram,2
ikan nila pesmol,1 portion,garam,gram,2
ikan nila pesmol,1 portion,merica,gram,1
ikan nila pesmol,1 portion,kunyit,gram,5
ikan nila pesmol,1 portion,serai,gram,20
ikan nila pesmol,1 portion,jahe,gram,10
ikan nila pesmol,1 portion,daun jeruk,gram,1
ikan nila pesmol,1 portion,minyak goreng,ml,20

Ayam masak wijen,1 portion,ayam fillet,gram,50
Ayam masak wijen,1 portion,bawang putih,gram,10
Ayam masak wijen,1 portion,penyedap,gram,2
Ayam masak wijen,1 portion,garam,gram,2
Ayam masak wijen,1 portion,merica,gram,1
Ayam masak wijen,1 portion,jahe,gram,5
Ayam masak wijen,1 portion,kecap manis,gram,1
Ayam masak wijen,1 portion,wijen,gram,3
Ayam masak wijen,1 portion,tepung tapioka,gram,10
Ayam masak wijen,1 portion,minyak wijen,gram,10
Ayam masak wijen,1 portion,minyak goreng,ml,20
